,Year,Importer,Trade Value(million_USD),Quantity(tons)
0,2005,China,7.316149999999999,9931.36
1,2006,China,17.96305,14491.6
2,2007,China,24.13652,14927.2
3,2008,China,32.49876,15601.2
4,2009,China,27.51133,17130.8
5,2010,China,36.02932,23635.7
6,2011,China,74.6958,32518.6
7,2012,China,86.70278,39561.0
8,2013,China,57.88128,27299.5
9,2014,China,92.05632,46377.1
10,2015,China,47.86185,24683.4
11,2016,China,57.59911,18503.2
12,2017,China,20.92751,10210.4
13,2018,China,42.16817,23967.7
14,2019,China,33.019330000000004,21253.6
15,2020,China,34.68109,22759.9
16,2021,China,54.2467,32358.5
17,2022,China,48.00722,23147.6
18,2023,China,31.59637,14061.6
19,2005,European Union,425.3783,448393.0
20,2006,European Union,714.5712,545053.0
21,2007,European Union,1059.47427,616978.0
22,2008,European Union,1132.4456200000002,511915.0
23,2009,European Union,883.5639699999999,506644.0
24,2010,European Union,883.23212,543943.0
25,2011,European Union,1312.8780900000002,544617.0
26,2012,European Union,1624.66194,718232.0
27,2013,European Union,1439.77081,659165.0
28,2014,European Union,1488.83462,702701.0
29,2015,European Union,1289.50682,630523.0
30,2016,European Union,1348.71076,729204.0
31,2017,European Union,1493.38578,660917.0
32,2018,European Union,1452.3358500000002,758442.0
33,2019,European Union,1221.28445,725523.0
34,2020,European Union,1058.8973,632450.0
35,2021,European Union,983.42733,533063.0
36,2022,European Union,1573.0218799999998,648026.0
37,2023,European Union,1583.30309,632508.0
38,2005,United States,166.16283,111909.0
39,2006,United States,214.42804,165152.0
40,2007,United States,319.55792,191383.0
41,2008,United States,305.23324,122967.0
42,2009,United States,267.10609000000005,167030.0
43,2010,United States,373.07776,222738.0
44,2011,United States,473.36365,189603.0
45,2012,United States,587.87499,245025.0
46,2013,United States,448.91427,208999.0
47,2014,United States,460.44947,207997.0
48,2015,United States,329.55440000000004,154863.0
49,2016,United States,475.00094,250311.0
50,2017,United States,496.95192,220174.0
51,2018,United States,377.87145,197325.0
52,2019,United States,266.0165,159394.0
53,2020,United States,253.44176,143309.0
54,2021,United States,254.3853,135147.0
55,2022,United States,321.38698,133498.0
56,2023,United States,339.20522,136134.0
