Year,Area (Thousand ha),San luong ca phe san xuat,San luong ca phe xuat khau (Thousand tons),Tong_luong_mua(mm),Do_am_trung_binh(%),Nhiet_do_trung_binh(Celcius),Kim Ngach(thousand USD),coffee_price_usd_per_ton(world)(USD/ton),coffee_price_usd_per_ton(vietnam)(USD/ton)
2005,497.4,831000.0,1176.77,2424.5,81.33,22.61,1613.29,1114.68,1336.46
2006,497.0,985300.0,1202.6,2111.9,81.08,23.04,1755.84,1489.86,1441.56
2007,509.3,1251000.0,1229.0,2062.0,81.08,22.92,1911.0,1910.01,1554.92
2008,530.9,1055811.0,1060.0,2329.3,81.33,22.62,2111.0,2319.18,1991.51
2009,538.5,1057540.0,1183.52,1887.3,82.5,22.79,1730.6,1643.41,1462.24
2010,554.8,1105700.0,1217.87,1890.0,80.92,23.34,1851.36,1735.72,1520.16
2011,586.2,1276506.0,1257.25,1634.1,80.08,22.91,2752.42,2408.29,2189.25
2012,623.0,1260463.0,1732.16,2457.7,80.17,22.43,3672.81,2267.3,2120.37
2013,637.0,1326688.0,1300.15,2243.8,80.25,22.44,2717.51,2074.93,2090.16
2014,641.2,1406469.0,1690.56,2207.5,80.83,22.54,3556.89,2213.86,2103.97
2015,643.3,1452999.0,1341.17,2567.2,82.25,21.57,2671.33,1940.87,1991.79
2016,650.6,1460800.0,1780.33,2725.4,83.0,21.98,3334.25,1953.66,1872.83
2017,664.6,1542398.0,1566.18,2725.4,83.0,21.99,3500.45,2225.77,2235.03
2018,680.7,1616307.0,1876.97,1645.0,83.5,21.79,3536.4,1868.95,1884.1
2019,688.7,1686745.0,1657.57,2314.0,82.92,22.08,2862.3,1621.83,1726.81
2020,695.6,1763476.0,1565.28,2178.0,83.17,22.3,2741.05,1515.8,1751.16
2021,705.9,1845033.0,1561.9,2048.0,82.83,22.34,3072.58,1980.28,1967.2
2022,709.0,1953990.0,1777.41,1897.0,83.58,21.83,4056.54,2284.64,2282.27
2023,718.4,1956782.0,1623.15,2101.0,84.5,21.88,4242.32,2626.29,2613.63
2024,731.9,1956782.0,1345.2,1707.0,84.83,22.11,5620.17,4425.77,4177.94
