,year,temperature,humidity,rain,area_thousand_ha,output_volumn_tons,export_volume_tons,export_value_usd,price_world_usd_per_ton,price_vn_usd_per_ton,export_ratio
0,2005,22.61,81.33,2424.5,497.4,831000.0,1229000.0,1911000000.0,1114.68,1554.92,1.4789410348977137
1,2006,23.04,81.08,2111.9,497.0,985300.0,1229000.0,1911000000.0,1489.86,1554.92,1.2473358368009744
2,2007,22.92,81.08,2062.0,509.3,1251000.0,1229000.0,1911000000.0,1910.01,1554.92,0.982414068745004
3,2008,22.62,81.33,2329.3,530.9,1055811.0,1060000.0,2111000000.0,2319.18,1991.51,1.0039675661647776
4,2009,22.79,82.5,1887.3,538.5,1057540.0,1183523.0,1730602417.0,1643.41,1462.24,1.1191283544830455
5,2010,23.34,80.92,1890.0,554.8,1105700.0,1217868.0,1851357772.0,1735.72,1520.16,1.1014452383105724
6,2011,22.91,80.08,1634.1,586.2,1276506.0,1257246.0,2752417389.0,2408.29,2189.25,0.9849119393093334
7,2012,22.43,80.17,2457.7,623.0,1260463.0,1732156.0,3672809719.0,2267.3,2120.37,1.3742220120701678
8,2013,22.44,80.25,2243.8,637.0,1326688.0,1300146.0,2717513154.0,2074.93,2090.16,0.9799937890445983
9,2014,22.54,80.83,2207.5,641.2,1406469.0,1690564.0,3556887418.0,2213.86,2103.97,1.2019916542774849
10,2015,21.57,82.25,2567.2,643.3,1452999.0,1341169.0,2671334044.0,1940.87,1991.79,0.9230350468238451
11,2016,21.98,83.0,2725.4,650.6,1460800.0,1780328.0,3334249370.0,1953.66,1872.83,1.2187349397590361
12,2017,21.99,83.0,2725.4,664.6,1542398.0,1566176.0,3500447003.0,2225.77,2235.03,1.0154162544297904
13,2018,21.79,83.5,1645.0,680.7,1616307.0,1876967.0,3536402485.0,1868.95,1884.1,1.161268867857406
14,2019,22.08,82.92,2314.0,688.7,1686745.0,1657568.0,2862301006.0,1621.83,1726.81,0.9827021867561487
15,2020,22.3,83.17,2178.0,695.6,1763476.0,1565280.0,2741048091.0,1515.8,1751.16,0.8876106054179359
16,2021,22.34,82.83,2048.0,705.9,1845033.0,1561903.0,3072579551.0,1980.28,1967.2,0.8465447501481004
17,2022,21.83,83.58,1897.0,709.0,1953990.0,1777412.0,4056541154.0,2284.64,2282.27,0.9096320861416896
18,2023,21.88,84.5,2101.0,718.4,1956782.0,1623151.0,4242322277.0,2626.29,2613.63,0.8295001691552764
19,2024,22.11,84.83,1707.0,731.9,1956782.0,1345202.0,5620173588.0,4425.77,4177.94,0.6874562419319066
